"","Name","Description","coords.x1","coords.x2","coords.x3"
"40","Beckton","<div>Zone 3</div> <div>E6 5NT</div> <div>Latitude: 51.514377</div> <div>Longitude: 0.061525</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beckton"">More info</a> </div>",0.061525,51.514377,0
"41","Beckton Park","<div>Zone 3</div> <div>E6 5NE</div> <div>Latitude: 51.508901</div> <div>Longitude: 0.054822</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beckton Park"">More info</a> </div>",0.054822,51.508901,0
"42","Becontree","<div>Zone 5</div> <div>RM9 4TP</div> <div>Latitude: 51.539585</div> <div>Longitude: 0.12688</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Becontree"">More info</a> </div>",0.12688,51.539585,0
"43","Beddington Lane","<div>Zone 3,4,5,6</div> <div>CR0 4TF</div> <div>Latitude: 51.38924</div> <div>Longitude: -0.142138</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beddington Lane"">More info</a> </div>",-0.142138,51.38924,0
"44","Belgrave Walk","<div>Zone 3,4,5,6</div> <div>CR4 4NY</div> <div>Latitude: 51.400962</div> <div>Longitude: -0.178496</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Belgrave Walk"">More info</a> </div>",-0.178496,51.400962,0
"45","Bellingham","<div>Zone 3</div> <div>SE6 3BT</div> <div>Latitude: 51.433865</div> <div>Longitude: -0.020412</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bellingham"">More info</a> </div>",-0.020412,51.433865,0
"46","Belmont","<div>Zone 5</div> <div>SM2 6BH</div> <div>Latitude: 51.34412</div> <div>Longitude: -0.199489</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Belmont"">More info</a> </div>",-0.199489,51.34412,0
"47","Belsize Park","<div>Zone 2</div> <div>NW3 2AL</div> <div>Latitude: 51.550191</div> <div>Longitude: -0.163974</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Belsize Park"">More info</a> </div>",-0.163974,51.550191,0
"48","Belvedere","<div>Zone 5</div> <div>DA17 6JW</div> <div>Latitude: 51.491959</div> <div>Longitude: 0.152034</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Belvedere"">More info</a> </div>",0.152034,51.491959,0
"49","Bermondsey","<div>Zone 2</div> <div>SE16 4RX</div> <div>Latitude: 51.497961</div> <div>Longitude: -0.06433</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bermondsey"">More info</a> </div>",-0.06433,51.497961,0
"50","Berrylands","<div>Zone 5</div> <div>KT5 8LT</div> <div>Latitude: 51.398768</div> <div>Longitude: -0.280321</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Berrylands"">More info</a> </div>",-0.280321,51.398768,0
"51","Bethnal Green","<div>Zone 2</div> <div>E2 0ET</div> <div>Latitude: 51.527192</div> <div>Longitude: -0.055392</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bethnal Green"">More info</a> </div>",-0.055392,51.527192,0
"52","Bethnal Green Rail","<div>Zone 2</div> <div>E2 6JL</div> <div>Latitude: 51.524283</div> <div>Longitude: -0.060014</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bethnal Green Rail"">More info</a> </div>",-0.060014,51.524283,0
"53","Bexley","<div>Zone 6</div> <div>DA5 1AQ</div> <div>Latitude: 51.440815</div> <div>Longitude: 0.148204</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bexley"">More info</a> </div>",0.148204,51.440815,0
"54","Bexleyheath","<div>Zone 5</div> <div>DA7 4AA</div> <div>Latitude: 51.46355</div> <div>Longitude: 0.133363</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bexleyheath"">More info</a> </div>",0.133363,51.46355,0
"55","Bickley","<div>Zone 5</div> <div>BR1 2EB</div> <div>Latitude: 51.40038</div> <div>Longitude: 0.044304</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bickley"">More info</a> </div>",0.044304,51.40038,0
"56","Birkbeck","<div>Zone 4</div> <div>BR3 4TA</div> <div>Latitude: 51.403863</div> <div>Longitude: -0.056286</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Birkbeck"">More info</a> </div>",-0.056286,51.403863,0
"57","Blackfriars","<div>Zone 1</div> <div>EC4V 4DD</div> <div>Latitude: 51.511587</div> <div>Longitude: -0.102995</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Blackfriars"">More info</a> </div>",-0.102995,51.511587,0
"58","Blackheath","<div>Zone 3</div> <div>SE3 9LE</div> <div>Latitude: 51.465408</div> <div>Longitude: 0.008337</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Blackheath"">More info</a> </div>",0.008337,51.465408,0
"59","Blackhorse Lane","<div>Zone 3,4,5,6</div> <div>CR0 6NL</div> <div>Latitude: 51.384746</div> <div>Longitude: -0.070534</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Blackhorse Lane"">More info</a> </div>",-0.070534,51.384746,0
"60","Blackhorse Road","<div>Zone 3</div> <div>E17 6JJ</div> <div>Latitude: 51.585777</div> <div>Longitude: -0.039626</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Blackhorse Road"">More info</a> </div>",-0.039626,51.585777,0
"61","Blackwall","<div>Zone 2</div> <div>E14 9QB</div> <div>Latitude: 51.507832</div> <div>Longitude: -0.007235</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Blackwall"">More info</a> </div>",-0.007235,51.507832,0
